,경청 프로젝트 2기 작은 실천,,,,,,,,,,,
,"<동네 한 바퀴, 은혜 한 바구니>",,,,,,,,,,,
,상점이름,상점종류,담당,사장님 추천 메뉴 & 시그니처 메뉴,평균 가격대,영업시간 및 정기 휴무일,테이블 수 및 좌석 형태,아기의자 유무,주차장 유무 및 인근 주차 팁,상점의 역사,사장님이 추천하는 '우리 가게 100% 즐기는 팁',사장님 가게만이 가진 자랑거리나 매력
1,맛대로촌닭,치킨집,,"어머나촌닭떡볶이, 평양칠향계","12,000~25,000","12시~24시, 연중무휴","4인 8개, 단체석 가능",있음,"가게 앞 2대, 아름드리 주차장",32년,평양칠향계 찜닭을 먹고 볶음밥을 꼭 볶아먹어야 진정한 맛을 알 수 있습니다.,"찜닭과 치킨을 같이 먹을 수 있다는 장점, 북한에 대한 사장님의 마음을 느낄 수 있는 지역사회를 섬기는 멋진 곳"
2,양천칼국수,한식,,"칼국수, 만두전골, 해물야채전","9,000~15,000","첫째, 셋째 일요일 휴무",4인 10개,없음,가게 앞 최대 6대,16년,"에피타이저로 나오는 보리밥에 열무와 고추장을 넣고, 참기름을 넣어서 비벼먹는다.","좋은 재료를 듬뿍 사용하고, 가격을 최대한 낮추려고 하고 있다. 밀가루도 최고 좋은 것을 사용하고, 생면을 사용한다. "
3,마곡오리,한식,,"오리 주물럭, 오리 로스, 오리 불고기","40,000~75,000",11시 30분~21시 30분,"4인 22개, 단체석 가능",없음,가게 옆 주차장,"40년, 현재 자리에서 15년째","국내산 고춧가루(진도, 함양에 지인에게 구매)로 매운맛을 낸 주물럭, 아이들도 먹을 수 있는 간장맛 오리불고기, 오리로만 승부를 보는 로스 알아서 고르시라","무조건 국내산 생고기 고집, 그래서 365일 연중무휴 why? 고기가 냉동이 아니라서 쉴 수 없다! 재고소진 원칙! / 엔지니어 출신 사장님이 받으신 특허가 자그마치 3개! "
4,마곡면옥,한식,,"냉면, 칼국수","8,000~10,000",10시 30분~21시,4인 5개,있음 (1개),신안빌라 주차 가능,1년,냉면과+ 만두 또는 만두전 또는 해물전 함께 드셔보시길,면 직접 반죽
,,,,,,,,,,,,
6,집애김밥,한식,,"야채김밥, 묵은지 김밥","4,000~6,000",08시 30분~19시 30분,"배달, 픽업만 가능",없음,없음,4년,"떡뽂이랑 같이 드시면 좋아요,",사장님 재료 많이 신경써서 신선하다
7,옥담집,양식,,"오일 파스타, 파트타 종류는 골고루 좋아함","12,000",10시~15시,"4인 9개,",있음 (2개),가게 앞 알아서 주차,6개월,"점심 파스타 드시면 아메리카노 공짜 (주말포함),
네이버 리뷰하시면 샐러드 공짜",저렴하고 맛있고 다양한 공짜 서비스를 받을 수 있음
